segment,magnitude,engine_cost,marking_equipment,image_path,sum
3.16228531702808,3.134651483703841,149401.74314568526,Электродвигатель 3-фазный АИР 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_0.jpg,294359.6693679771
1.9188271717782668,2.8772929938608316,64822.86711422712,Электродвигатель 3-фазный AIR 4кВт 380В 100L4 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_1.jpg,86674.5524906902
2.7035886511373164,1.885363558652798,119036.87174082742,Электродвигатель 3-фазный AIR 100L4 380В 4kW 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_2.jpg,154264.91331734022
1.2667910771863888,2.8422418025929614,61954.556127702635,Электродвигатель 3-фазный AIR 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_3.jpg,90678.55327151621
1.9705677665774268,0.7096317557169762,25078.189116125308,Электродвигатель 3-фазный АИР 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_4.jpg,48922.37725519525
0.9864607087614216,0.8013706411884691,76109.01122031311,Электродвигатель 3-фазный АИР 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_5.jpg,141349.27784608715
2.217197989877083,3.0510920102323826,70970.12646087889,Электродвигатель 3-фазный АИР 4кВт 380В 100L4 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_6.jpg,98161.73848371608
1.987420930775484,1.0275885051020954,33607.90284309866,Электродвигатель 3-фазный AIR 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_7.jpg,47403.97490186707
1.7855094693431257,3.060703014216493,55199.20197712459,Электродвигатель 3-фазный AIR 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_8.jpg,93550.70411752642
1.9870333448631634,2.0773677313240575,51980.45185610358,Электродвигатель 3-фазный АИР 100L4 380В 4кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_9.jpg,64247.73188014449
2.729455887328555,1.6427705895720772,131246.12312656484,Электродвигатель 1500об/мин AIR 132M4 380В 11кВт 3-фазный 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_0.jpg,205074.18239894984
1.7660319071191075,2.0025692476667105,48188.15503163558,Электродвигатель трехфазный АИР 132M4 380В 11кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_1.jpg,79779.7162355593
0.939850637712455,3.0677146883173565,69938.23829134153,Электродвигатель 3-фазный AIR 132M4 380В 11киловатт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_2.jpg,132419.59112734586
2.8400645824484982,0.9613544217188199,48296.02698370459,Электродвигатель трехфазный АИР 132M4 380В 1500об/мин 11кВт 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_3.jpg,88147.36207751211
1.086823818065203,2.2156850859988317,62708.04879390469,Электродвигатель 3-фазный АИР 1500об/мин 380В 11кВт 132M4 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_4.jpg,82432.7263094143
1.840116204199573,1.7903442973926575,42862.01363897325,Электродвигатель 3-фазный АИР 132M4 380В 11кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_5.jpg,76611.55274652402
1.8300927767556812,3.0255888462539704,68699.5736077575,Электродвигатель 3-фазный AIR 132M4 380В 11киловатт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_6.jpg,127499.01108586254
0.7216205776890476,3.0572947834933477,75693.2693228855,Электродвигатель трехфазный АИР 11кВт 380В 132M4 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_7.jpg,145230.9485148703
0.9324144481685078,2.9632124805698616,77655.90947097309,Электродвигатель 132M4 АИР 3-фазный 380В 11кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_8.jpg,149457.68215833284
1.1180423323643058,3.0751683837203503,72165.21048901699,Электродвигатель 3-фазный АИР 132M4 380В 11кВт 1500об/мин 1081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_9.jpg,133326.577325205
1.1611743822814542,1.9071294769012785,53503.13501944163,Электродвигатель 3-фазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_0.jpg,86837.7795698666
3.0408917333656325,2.917476599582452,147643.15754659876,Электродвигатель 3-фазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_1.jpg,280414.05715650064
2.083455695544428,2.9847425433640953,57496.02392192917,Электродвигатель трехфазный АИР 380В 160M4 18.5кВт 1500 об/мин 2081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_2.jpg,111163.73844720237
0.9946300272417749,2.1648340581481125,45449.99937568592,Электродвигатель 3-фазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_3.jpg,71494.29493530926
2.874777664298407,0.7328786149166453,41071.66919495286,Электродвигатель 3-фазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,C:\Users\gabde\Downloads\augmented_images\1_1_aug_4.jpg,61202.68402486424
